82	человек	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	76	nmod	_	@vjus1978f-words#@vjus1978f#72.331#72.616
83	который	который	PRON	_	Case=Nom|Gender=Masc|Number=Sing	86	nsubj	_	@vjus1978f-words#@vjus1978f#72.616#72.901
84	в	в	ADP	_	_	85	case	_	@vjus1978f-words#@vjus1978f#72.901#73.186
85	принципе	принцип	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	86	obl	_	@vjus1978f-words#@vjus1978f#73.186#73.471
86	может	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	82	acl:relcl	_	@vjus1978f-words#@vjus1978f#73.471#73.756
87	жить	жить	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	86	xcomp	_	@vjus1978f-words#@vjus1978f#73.756#74.041
88	в	в	ADP	_	_	90	case	_	@vjus1978f-words#@vjus1978f#74.041#74.326
89	любой	любой	DET	_	Case=Loc|Gender=Fem|Number=Sing	90	det	_	@vjus1978f-words#@vjus1978f#74.326#74.611
90	точке	точка	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	87	obl	_	@vjus1978f-words#@vjus1978f#74.611#74.896
91	мира	мир	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	90	nmod	_	@vjus1978f-words#@vjus1978f#74.896#75.181
92	поскольку	поскольку	SCONJ	_	_	94	mark	_	@vjus1978f-words#@vjus1978f#75.181#75.466
93	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	94	nsubj	_	@vjus1978f-words#@vjus1978f#75.466#75.751
94	работаешь	работать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	100	advcl	_	@vjus1978f-words#@vjus1978f#75.751#76.036
95	в	в	ADP	_	_	96	case	_	@vjus1978f-words#@vjus1978f#76.036#76.321
96	сфере	сфера	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	94	obl	_	@vjus1978f-words#@vjus1978f#76.321#76.606
97	интернета	интернет	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	96	nmod	_	@vjus1978f-words#@vjus1978f#76.606#76.909
98	почему	почему	ADV	_	Degree=Pos	94	advmod	_	@vjus1978f-words#@vjus1978f#77.454#77.721
99	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	100	nsubj	_	@vjus1978f-words#@vjus1978f#77.721#77.988
100	выбираешь	выбирать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	110	advcl	_	@vjus1978f-words#@vjus1978f#77.988#78.255
101	для	для	ADP	_	_	103	case	_	@vjus1978f-words#@vjus1978f#78.255#78.522
102	своей	свой	DET	_	Case=Gen|Gender=Fem|Number=Sing	103	det	_	@vjus1978f-words#@vjus1978f#78.522#78.789
103	жизни	жизнь	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	100	obl	_	@vjus1978f-words#@vjus1978f#78.789#79.056
104	жить	жить	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	110	xcomp	_	@vjus1978f-words#@vjus1978f#79.056#79.323
105	в	в	ADP	_	_	106	case	_	@vjus1978f-words#@vjus1978f#79.323#79.59
106	России	Россия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	104	obl	_	@vjus1978f-words#@vjus1978f#79.59#79.857
107	почему	почему	ADV	_	Degree=Pos	104	advmod	_	@vjus1978f-words#@vjus1978f#79.857#80.124
108	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	110	nsubj	_	@vjus1978f-words#@vjus1978f#80.124#80.391
109	не	не	PART	_	_	110	advmod	_	@vjus1978f-words#@vjus1978f#80.391#80.658
110	живёшь	жить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	86	xcomp	_	@vjus1978f-words#@vjus1978f#80.658#80.925
111	в	в	ADP	_	_	112	case	_	@vjus1978f-words#@vjus1978f#80.925#81.192
112	Америке	Америка	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	110	obl	_	@vjus1978f-words#@vjus1978f#81.192#81.459
113	в	в	ADP	_	_	114	case	_	@vjus1978f-words#@vjus1978f#81.459#81.726
114	Мексике	Мексика	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	110	obl	_	@vjus1978f-words#@vjus1978f#81.726#81.993
115	в	в	ADP	_	_	116	case	_	@vjus1978f-words#@vjus1978f#81.993#82.26
116	Европе	Европа	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	114	nmod	_	@vjus1978f-words#@vjus1978f#82.26#82.527
117	где	где	ADV	_	Degree=Pos	116	advmod	_	@vjus1978f-words#@vjus1978f#82.527#82.794
118	угодно	угодно	ADV	_	Degree=Pos	117	fixed	_	@vjus1978f-words#@vjus1978f#82.794#83.061
119	/	/	PUNCT	_	_	120	punct	_	@vjus1978f-words#@vjus1978f#83.061#83.328
120	почему	почему	ADV	_	Degree=Pos	117	advmod	_	@vjus1978f-words#@vjus1978f#83.328#83.595
121	?	?	PUNCT	_	_	120	punct	_	@vjus1978f-words#@vjus1978f#83.595#83.863
122	а	а	CCONJ	_	_	123	cc	_	@vjus1978f-words#@vjus1978f#95.181#95.398
123	нет	нет	PART	_	_	120	conj	_	@vjus1978f-words#@vjus1978f#95.398#95.615
124	не	не	PART	_	_	125	advmod	_	@vjus1978f-words#@vjus1978f#95.615#95.832
125	так	так	ADV	_	Degree=Pos	127	advmod	_	@vjus1978f-words#@vjus1978f#95.832#96.049
126	/	/	PUNCT	_	_	127	punct	_	@vjus1978f-words#@vjus1978f#96.049#96.266
127	объясню	объяснить	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	120	conj	_	@vjus1978f-words#@vjus1978f#96.266#96.483
128	почему	почему	ADV	_	Degree=Pos	127	advmod	_	@vjus1978f-words#@vjus1978f#96.483#96.7
129	/	/	PUNCT	_	_	130	punct	_	@vjus1978f-words#@vjus1978f#96.7#96.917
130	ааа	ааa	INTJ	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	131	nmod	_	@vjus1978f-words#@vjus1978f#96.917#97.136
131	дело	дело	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	127	obj	_	@vjus1978f-words#@vjus1978f#97.136#97.42
132	в	в	ADP	_	_	133	case	_	@vjus1978f-words#@vjus1978f#97.42#97.704
133	том	то	PRON	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	127	obl	_	@vjus1978f-words#@vjus1978f#97.704#97.988
134	/	/	PUNCT	_	_	140	punct	_	@vjus1978f-words#@vjus1978f#97.988#98.272
135	что	что	SCONJ	_	_	140	mark	_	@vjus1978f-words#@vjus1978f#98.272#98.556
136	например	например	ADV	_	Degree=Pos	137	obl	_	@vjus1978f-words#@vjus1978f#98.556#98.84
137	Америка	Америка	PROPN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	140	parataxis	_	@vjus1978f-words#@vjus1978f#98.84#99.124
138	/	/	PUNCT	_	_	137	punct	_	@vjus1978f-words#@vjus1978f#99.124#99.408
139	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	140	nsubj	_	@vjus1978f-words#@vjus1978f#99.408#99.692
140	страна	страна	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	133	acl	_	@vjus1978f-words#@vjus1978f#99.692#99.976
141	приезжих	приезжий	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	140	nmod	_	@vjus1978f-words#@vjus1978f#99.976#100.26
142	/	/	PUNCT	_	_	146	punct	_	@vjus1978f-words#@vjus1978f#100.26#100.544
143	там	там	ADV	_	Degree=Pos	146	advmod	_	@vjus1978f-words#@vjus1978f#100.544#100.828
144	в	в	ADP	_	_	145	case	_	@vjus1978f-words#@vjus1978f#100.828#101.112
145	принципе	принцип	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	146	obl	_	@vjus1978f-words#@vjus1978f#101.112#101.396
146	нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	141	appos	_	@vjus1978f-words#@vjus1978f#101.396#101.68
147	местных	местный	NOUN	_	Case=Gen|Degree=Pos|Number=Plur	158	nsubj	_	@vjus1978f-words#@vjus1978f#101.68#101.964
148	/	/	PUNCT	_	_	158	punct	_	@vjus1978f-words#@vjus1978f#101.964#102.248
149	Нью-Йорк	Нью-Йорк	PROPN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	148	appos	_	@vjus1978f-words#@vjus1978f#102.248#102.532
150	тем	то	PRON	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	151	obl	_	@vjus1978f-words#@vjus1978f#102.532#102.816
151	более	более	ADV	_	Degree=Cmp	158	parataxis	_	@vjus1978f-words#@vjus1978f#102.816#103.1
152	/	/	PUNCT	_	_	155	punct	_	@vjus1978f-words#@vjus1978f#103.1#103.384
153	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	155	nsubj	_	@vjus1978f-words#@vjus1978f#103.384#103.668
154	такой	такой	DET	_	Case=Nom|Gender=Masc|Number=Sing	155	det	_	@vjus1978f-words#@vjus1978f#103.668#103.952
155	Вавилон	Вавилон	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	151	parataxis	_	@vjus1978f-words#@vjus1978f#103.952#104.236
156	/	/	PUNCT	_	_	151	punct	_	@vjus1978f-words#@vjus1978f#104.236#104.52
157	там	там	ADV	_	Degree=Pos	158	advmod	_	@vjus1978f-words#@vjus1978f#104.52#104.804
158	нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	146	conj	_	@vjus1978f-words#@vjus1978f#104.804#105.088
159	ни	ни	PART	_	_	160	advmod	_	@vjus1978f-words#@vjus1978f#105.088#105.372
160	одного	один	NUM	_	Case=Gen|Gender=Masc	161	nummod	_	@vjus1978f-words#@vjus1978f#105.372#105.656
161	человека	человек	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	165	obl	_	@vjus1978f-words#@vjus1978f#105.656#105.94
162	который	который	PRON	_	Case=Nom|Gender=Masc|Number=Sing	163	nsubj	_	@vjus1978f-words#@vjus1978f#105.94#106.224
163	мог	мочь	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	158	parataxis	_	@vjus1978f-words#@vjus1978f#106.224#106.508
164	бы	бы	AUX	_	_	163	aux	_	@vjus1978f-words#@vjus1978f#106.508#106.792
165	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	163	xcomp	_	@vjus1978f-words#@vjus1978f#106.792#107.076
166	/	/	PUNCT	_	_	188	punct	_	@vjus1978f-words#@vjus1978f#107.076#107.36
167	а	а	CCONJ	_	_	188	cc	_	@vjus1978f-words#@vjus1978f#107.36#107.644
168	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	188	nsubj	_	@vjus1978f-words#@vjus1978f#107.644#107.928
169	/	/	PUNCT	_	_	170	punct	_	@vjus1978f-words#@vjus1978f#107.928#108.212
170	коренной	коренной	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	188	obl	_	@vjus1978f-words#@vjus1978f#108.212#108.496
171	нью-йорк...	нью-йоркец	NOUN	_	_	170	iobj	_	@vjus1978f-words#@vjus1978f#108.496#108.78
172	/	/	PUNCT	_	_	174	punct	_	@vjus1978f-words#@vjus1978f#108.78#109.064
173	как	как	SCONJ	_	_	174	advmod	_	@vjus1978f-words#@vjus1978f#109.064#109.348
174	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	183	parataxis	_	@vjus1978f-words#@vjus1978f#109.348#109.632
175	Нью-Йорк	Нью-Йорк	PROPN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	174	obj	_	@vjus1978f-words#@vjus1978f#109.632#109.954
176	нью-йоркец	нью-йоркец	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	174	obl	_	@vjus1978f-words#@vjus1978f#110.863#111.508
177	/	/	PUNCT	_	_	178	punct	_	@vjus1978f-words#@vjus1978f#111.508#112.153
178	нью-йоркчец	нью-йоркчец	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	176	appos	_	@vjus1978f-words#@vjus1978f#112.153#112.798
179	/	/	PUNCT	_	_	180	punct	_	@vjus1978f-words#@vjus1978f#112.798#113.443
180	нью-йоркчец	нью-йоркчец	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	178	appos	_	@vjus1978f-words#@vjus1978f#113.443#114.09
181	нью-йоркер	нью-йоркер	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	180	nmod	_	@vjus1978f-words#@vjus1978f#114.954#115.517
182	/	/	PUNCT	_	_	174	punct	_	@vjus1978f-words#@vjus1978f#115.517#116.08
183	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	188	nsubj	_	@vjus1978f-words#@vjus1978f#116.08#116.643
184	коренной	коренной	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	185	amod	_	@vjus1978f-words#@vjus1978f#116.643#117.206
185	нью-йоркер	нью-йоркер	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	190	obj	_	@vjus1978f-words#@vjus1978f#117.206#117.772
186	никто	никто	PRON	_	Case=Nom	188	nsubj	_	@vjus1978f-words#@vjus1978f#117.954#118.201
187	не	не	PART	_	_	188	advmod	_	@vjus1978f-words#@vjus1978f#118.201#118.448
188	может	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	163	conj	_	@vjus1978f-words#@vjus1978f#118.448#118.695
189	такого	такой	DET	_	Case=Gen|Gender=Neut|Number=Sing	190	det	_	@vjus1978f-words#@vjus1978f#118.695#118.942
190	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	188	xcomp	_	@vjus1978f-words#@vjus1978f#118.942#119.189
191	/	/	PUNCT	_	_	192	punct	_	@vjus1978f-words#@vjus1978f#119.189#119.436
192	понимаешь	понимать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	188	conj	_	@vjus1978f-words#@vjus1978f#119.436#119.683
193	там	там	ADV	_	Degree=Pos	192	advmod	_	@vjus1978f-words#@vjus1978f#119.683#119.93
194	один	один	NUM	_	Case=Nom|Gender=Masc	195	nsubj	_	@vjus1978f-words#@vjus1978f#119.93#120.177
195	ходит	ходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	192	advmod	_	@vjus1978f-words#@vjus1978f#120.177#120.424
196	с	с	ADP	_	_	198	case	_	@vjus1978f-words#@vjus1978f#120.424#120.671
197	какой-то	какой-то	DET	_	Case=Ins|Gender=Fem|Number=Sing	198	det	_	@vjus1978f-words#@vjus1978f#120.671#120.918
198	чалмой	чалма	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	195	obl	_	@vjus1978f-words#@vjus1978f#120.918#121.165
199	на	на	ADP	_	_	200	case	_	@vjus1978f-words#@vjus1978f#121.165#121.412
200	голове	голова	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	198	nmod	_	@vjus1978f-words#@vjus1978f#121.412#121.659
201	/	/	PUNCT	_	_	202	punct	_	@vjus1978f-words#@vjus1978f#121.659#121.906
202	вторая	второй	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	195	conj	_	@vjus1978f-words#@vjus1978f#121.906#122.153
203	в	в	ADP	_	_	208	case	_	@vjus1978f-words#@vjus1978f#122.153#122.4
204	какой-то	какой-то	DET	_	Case=Loc|Gender=Fem|Number=Sing	208	det	_	@vjus1978f-words#@vjus1978f#122.4#122.647
205	там	там	ADV	_	Degree=Pos	208	advmod	_	@vjus1978f-words#@vjus1978f#122.647#122.894
206	/	/	PUNCT	_	_	208	punct	_	@vjus1978f-words#@vjus1978f#122.894#123.141
207	не	не	PART	_	_	208	advmod	_	@vjus1978f-words#@vjus1978f#123.141#123.388
208	знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	202	obl	_	@vjus1978f-words#@vjus1978f#123.388#123.635
209	парандже	паранджа	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	208	advmod	_	@vjus1978f-words#@vjus1978f#123.635#123.882
210	и	и	CCONJ	_	_	215	cc	_	@vjus1978f-words#@vjus1978f#123.882#124.129
211	так	так	ADV	_	Degree=Pos	210	fixed	_	@vjus1978f-words#@vjus1978f#124.129#124.376
